video_id,views,likes,dislikes,comment_count,thumbnail_link
2kyS6SvSYSE,748374,57527,2966,15954,https://i.ytimg.com/vi/2kyS6SvSYSE/default.jpg
1ZAPwfrtAFY,2418783,97185,6146,12703,https://i.ytimg.com/vi/1ZAPwfrtAFY/default.jpg
5qpjK5DgCt4,3191434,146033,5339,8181,https://i.ytimg.com/vi/5qpjK5DgCt4/default.jpg
puqaWrEC7tY,343168,10172,666,2146,https://i.ytimg.com/vi/puqaWrEC7tY/default.jpg
d380meD0W0M,2095731,132235,1989,17518,https://i.ytimg.com/vi/d380meD0W0M/default.jpg
gHZ1Qz0KiKM,119180,9763,511,1434,https://i.ytimg.com/vi/gHZ1Qz0KiKM/default.jpg
39idVpFF7NQ,2103417,15993,2445,1970,https://i.ytimg.com/vi/39idVpFF7NQ/default.jpg
nc99ccSXST0,817732,23663,778,3432,https://i.ytimg.com/vi/nc99ccSXST0/default.jpg
jr9QtXwC9vc,826059,3543,119,340,https://i.ytimg.com/vi/jr9QtXwC9vc/default.jpg
TUmyygCMMGA,256426,12654,1363,2368,https://i.ytimg.com/vi/TUmyygCMMGA/default.jpg
9wRQljFNDW8,81377,655,25,177,https://i.ytimg.com/vi/9wRQljFNDW8/default.jpg
VifQlJit6A0,104578,1576,303,1279,https://i.ytimg.com/vi/VifQlJit6A0/default.jpg
5E4ZBSInqUU,687582,114188,1333,8371,https://i.ytimg.com/vi/5E4ZBSInqUU/default.jpg
GgVmn66oK_A,544770,7848,1171,3981,https://i.ytimg.com/vi/GgVmn66oK_A/default.jpg
TaTleo4cOs8,207532,7473,246,2120,https://i.ytimg.com/vi/TaTleo4cOs8/default.jpg
kgaO45SyaO4,75752,9419,52,1230,https://i.ytimg.com/vi/kgaO45SyaO4/default.jpg
ZAQs-ctOqXQ,295639,8011,638,1256,https://i.ytimg.com/vi/ZAQs-ctOqXQ/default.jpg
YVfyYrEmzgM,78044,5398,53,385,https://i.ytimg.com/vi/YVfyYrEmzgM/default.jpg
eNSN6qet1kE,97007,11963,36,2211,https://i.ytimg.com/vi/eNSN6qet1kE/default.jpg
B5HORANmzHw,223871,8421,191,1214,https://i.ytimg.com/vi/B5HORANmzHw/default.jpg
vU14JY3x81A,115791,9586,75,2800,https://i.ytimg.com/vi/vU14JY3x81A/default.jpg
6VhU_T463sU,224019,3585,138,208,https://i.ytimg.com/vi/6VhU_T463sU/default.jpg
_-aDHxoblr4,144418,11758,89,1014,https://i.ytimg.com/vi/_-aDHxoblr4/default.jpg
JBZTZZAcFTw,145921,1707,578,673,https://i.ytimg.com/vi/JBZTZZAcFTw/default.jpg
lZ68j2J_GOM,33980,4884,52,234,https://i.ytimg.com/vi/lZ68j2J_GOM/default.jpg
dRpNZV18N_g,223077,8676,193,1392,https://i.ytimg.com/vi/dRpNZV18N_g/default.jpg
fcVjitaM3LY,80705,4687,41,437,https://i.ytimg.com/vi/fcVjitaM3LY/default.jpg
